date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalizedCurrently,inIcuCurrently,negative,negativeIncrease,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
11/20/20,IL,A,11795,11304,147,491,6111,1196,8954303,103012,604,634395,447491,13012,9588698,116024,9588698,116024
11/19/20,IL,A,11648,11178,180,470,6037,1192,8851291,98835,587,621383,447491,14612,9472674,113447,9472674,113447
11/18/20,IL,A,11468,11014,151,454,5953,1146,8752456,94647,547,606771,447491,8922,9359227,103569,9359227,103569
11/17/20,IL,A,11317,10875,113,442,5887,1158,8657809,81604,545,597849,447491,12601,9255658,94205,9255658,94205
11/16/20,IL,A,11204,10779,42,425,5581,1144,8576205,78980,514,585248,447491,11632,9161453,90612,9161453,90612
11/15/20,IL,A,11162,10742,74,420,5474,1045,8497225,74200,490,573616,447491,10631,9070841,84831,9070841,84831
11/14/20,IL,A,11088,10670,197,418,5415,1018,8423025,103342,499,562985,447491,11028,8986010,114370,8986010,114370
11/13/20,IL,A,10891,10504,45,387,5362,990,8319683,91125,488,551957,447491,15415,8871640,106540,8871640,106540
11/12/20,IL,A,10846,10477,48,369,5258,956,8228558,87915,438,536542,447491,12702,8765100,100617,8765100,100617
11/11/20,IL,A,10798,10434,153,364,5042,951,8140643,80807,404,523840,447491,12657,8664483,93464,8664483,93464
11/10/20,IL,A,10645,10289,82,356,4742,911,8059836,89332,399,511183,447491,12623,8571019,101955,8571019,101955
11/9/20,IL,A,10563,10210,25,353,4409,857,7970504,54187,376,498560,447491,10573,8469064,64760,8469064,64760
11/8/20,IL,A,10538,10196,50,342,4303,833,7916317,80748,368,487987,447491,10009,8404304,90757,8404304,90757
11/7/20,IL,A,10488,10154,91,334,4250,813,7835569,85980,367,477978,447491,12438,8313547,98418,8313547,98418
11/6/20,IL,A,10397,10079,84,318,4090,786,7749589,80352,339,465540,447491,11790,8215129,92142,8215129,98401
11/5/20,IL,A,10313,10030,97,283,3891,772,7669237,76080,343,453750,447491,9935,8122987,86015,8116728,86015
11/4/20,IL,A,10216,9933,55,283,3761,776,7593157,64319,327,443815,437556,7538,8036972,71857,8030713,71857
11/3/20,IL,A,10161,9878,68,283,3594,755,7528838,75919,326,436277,430018,6516,7965115,82435,7958856,82435
11/2/20,IL,A,10093,9810,18,283,3371,722,7452919,61896,298,429761,423502,6222,7882680,68118,7876421,68118
11/1/20,IL,A,10075,9792,25,283,3294,692,7391023,71478,284,423539,417280,6980,7814562,78458,7808303,78458
10/31/20,IL,A,10050,9757,56,283,3228,680,7319545,84737,290,416559,410300,7899,7736104,92636,7729845,92636
10/30/20,IL,A,9994,9711,49,283,3092,673,7234808,88168,288,408660,402401,8489,7643468,96657,7637209,95111
10/29/20,IL,A,9945,9675,56,270,3030,643,7146640,76693,269,400171,395458,6363,7546811,83056,7542098,83056
10/28/20,IL,A,9889,9619,51,270,2861,600,7069947,64642,243,393808,389095,6110,7463755,70752,7459042,70752
10/27/20,IL,A,9838,9568,46,270,2758,595,7005305,58074,241,387698,382985,4000,7393003,62074,7388290,62074
10/26/20,IL,A,9792,9522,17,270,2638,589,6947231,52535,238,383698,378985,4729,7330929,57264,7326216,57264
10/25/20,IL,A,9775,9505,24,270,2605,565,6894696,68035,214,378969,374256,4062,7273665,72097,7268952,72097
10/24/20,IL,A,9751,9481,63,270,2616,560,6826661,77356,222,374907,370194,6161,7201568,83517,7196855,83517
10/23/20,IL,A,9688,9418,41,270,2498,511,6749305,78382,197,368746,364033,5000,7118051,83382,7113338,82256
10/22/20,IL,A,9647,9387,42,260,2463,525,6670923,76035,212,363746,360159,4942,7034669,80977,7031082,80977
10/21/20,IL,A,9605,9345,68,260,2338,502,6594888,62449,194,358804,355217,4342,6953692,66791,6950105,66791
10/20/20,IL,A,9537,9277,41,260,2261,489,6532439,55363,195,354462,350875,3714,6886901,59077,6883314,59077
10/19/20,IL,A,9496,9236,22,260,2096,485,6477076,45571,179,350748,347161,3113,6827824,48684,6824237,48684
10/18/20,IL,A,9474,9214,22,260,2012,408,6431505,75051,157,347635,344048,4245,6779140,79296,6775553,79296
10/17/20,IL,A,9452,9192,27,260,2073,422,6356454,73860,165,343390,339803,3629,6699844,77489,6696257,77489
10/16/20,IL,A,9425,9165,52,260,2016,410,6282594,83205,151,339761,336174,5103,6622355,88308,6618768,87759
10/15/20,IL,A,9373,9127,53,246,1932,388,6199389,63071,147,334658,331620,4015,6534047,67086,6531009,67086
10/14/20,IL,A,9320,9074,48,246,1974,390,6136318,49807,153,330643,327605,2862,6466961,52669,6463923,52669
10/13/20,IL,A,9272,9026,29,246,1848,406,6086511,53142,160,327781,324743,2851,6414292,55993,6411254,55993
10/12/20,IL,A,9243,8997,13,246,1764,377,6033369,44837,153,324930,321892,2742,6358299,47579,6355261,47579
10/11/20,IL,A,9230,8984,9,246,1776,388,5988532,61320,159,322188,319150,2727,6310720,64047,6307682,64047
10/10/20,IL,A,9221,8975,30,246,1807,406,5927212,63351,166,319461,316423,2905,6246673,66256,6243635,66256
10/9/20,IL,A,9191,8945,32,246,1812,395,5863861,68781,153,316556,313518,3117,6180417,71898,6177379,71599
10/8/20,IL,A,9159,8910,32,249,1755,392,5795080,69432,163,313439,310700,3059,6108519,72491,6105780,72491
10/7/20,IL,A,9127,8878,42,249,1679,372,5725648,56190,165,310380,307641,2630,6036028,58820,6033289,58820
10/6/20,IL,A,9085,8836,31,249,1673,384,5669458,47896,159,307750,305011,1617,5977208,49513,5974469,49513
10/5/20,IL,A,9054,8805,14,249,1631,382,5621562,36685,155,306133,303394,1853,5927695,38538,5924956,38538
10/4/20,IL,A,9040,8791,17,249,1521,384,5584877,50203,140,304280,301541,1453,5889157,51656,5886418,51656
10/3/20,IL,A,9023,8774,31,249,1535,361,5534674,69192,140,302827,300088,2442,5837501,71634,5834762,71634
10/2/20,IL,A,8992,8743,52,249,1678,373,5465482,70485,162,300385,297646,2456,5765867,72941,5763128,72691
10/1/20,IL,A,8940,8696,24,244,1635,359,5394997,63449,149,297929,295440,2166,5692926,65615,5690437,65615
9/30/20,IL,A,8916,8672,35,244,1632,378,5331548,56273,152,295763,293274,2273,5627311,58546,5624822,58546
9/29/20,IL,A,8881,8637,23,244,1535,363,5275275,44262,151,293490,291001,1362,5568765,45624,5566276,45624
9/28/20,IL,A,8858,8614,13,244,1491,346,5231013,39433,135,292128,289639,1709,5523141,41142,5520652,41142
9/27/20,IL,A,8845,8601,13,244,1486,350,5191580,49218,144,290419,287930,1604,5481999,50822,5479510,50822
9/26/20,IL,A,8832,8588,25,244,1597,355,5142362,62776,141,288815,286326,2441,5431177,65217,5428688,65217
9/25/20,IL,A,8807,8563,33,244,1637,371,5079586,67279,124,286374,283885,2805,5365960,70084,5363471,69793
9/24/20,IL,A,8774,8538,30,236,1713,400,5012307,59814,155,283569,281371,2257,5295876,62071,5293678,62071
9/23/20,IL,A,8744,8508,22,236,1563,351,4952493,44543,144,281312,279114,1848,5233805,46391,5231607,46391
9/22/20,IL,A,8722,8486,29,236,1455,367,4907950,40298,153,279464,277266,1531,5187414,41829,5185216,41829
9/21/20,IL,A,8693,8457,7,236,1436,364,4867652,36757,153,277933,275735,1477,5145585,38234,5143387,38234
9/20/20,IL,A,8686,8450,14,236,1417,357,4830895,46609,151,276456,274258,1402,5107351,48011,5105153,48011
9/19/20,IL,A,8672,8436,25,236,1469,326,4784286,71757,141,275054,272856,2529,5059340,74286,5057142,74286
9/18/20,IL,A,8647,8411,23,236,1481,329,4712529,59798,149,272525,270327,2223,4985054,62021,4982856,61918
9/17/20,IL,A,8624,8392,25,232,1558,359,4652731,55744,144,270302,268207,2056,4923033,57800,4920938,57800
9/16/20,IL,A,8599,8367,35,232,1565,345,4596987,50370,143,268246,266151,1941,4865233,52311,4863138,52311
9/15/20,IL,A,8564,8332,18,232,1584,373,4546617,37565,144,266305,264210,1466,4812922,39031,4810827,39031
9/14/20,IL,A,8546,8314,5,232,1431,335,4509052,34557,131,264839,262744,1373,4773891,35930,4771796,35930
9/13/20,IL,A,8541,8309,14,232,1422,328,4474495,45428,136,263466,261371,1462,4737961,46890,4735866,46890
9/12/20,IL,A,8527,8295,22,232,1509,344,4429067,54473,170,262004,259909,2121,4691071,56594,4688976,56594
9/11/20,IL,A,8505,8273,44,232,1619,359,4374594,54516,155,259883,257788,2312,4634477,56828,4632382,56661
9/10/20,IL,A,8461,8242,28,219,1609,346,4320078,47029,141,257571,255643,1953,4577649,48982,4575721,48982
9/9/20,IL,A,8433,8214,28,219,1580,357,4273049,46692,133,255618,253690,1337,4528667,48029,4526739,48029
9/8/20,IL,A,8405,8186,7,219,1504,343,4226357,29971,133,254281,252353,1392,4480638,31363,4478710,31363
9/7/20,IL,A,8398,8179,8,219,1484,352,4196386,27594,137,252889,250961,1381,4449275,28975,4447347,28975
9/6/20,IL,A,8390,8171,5,219,1504,356,4168792,45093,134,251508,249580,1403,4420300,46496,4418372,46496
9/5/20,IL,A,8385,8166,23,219,1550,363,4123699,59129,151,250105,248177,2806,4373804,61935,4371876,61935
9/4/20,IL,A,8362,8143,38,219,1621,360,4064570,143905,155,247299,245371,5594,4311869,149499,4309941,149273
